dataset	model	baseline	TP	FP	TN	FN	Precision	Recall	F1	Coverage	Acc@Cov	Overall_Acc	Decision_Acc	AUROC
crag	google-gemini-2-5-pro	ensemble_assistive	42	13	89	18	0.7636363636363637	0.7	0.7304347826086957	0.6604938271604939	0.8317757009345794	0.5493827160493827	0.808641975308642	0.7862745098039216
crag	google-gemini-2-5-pro	ensemble_incremental	41	14	88	19	0.7454545454545455	0.6833333333333333	0.7130434782608696	0.6604938271604939	0.822429906542056	0.5432098765432098	0.7962962962962963	0.7730392156862745
crag	meta-llama-llama-3-1-8b-instruct	ensemble_assistive	104	20	24	14	0.8387096774193549	0.8813559322033898	0.859504132231405	0.2345679012345679	0.631578947368421	0.14814814814814814	0.7901234567901234	0.7134052388289677
crag	meta-llama-llama-3-1-8b-instruct	ensemble_incremental	107	21	23	11	0.8359375	0.9067796610169492	0.8699186991869919	0.20987654320987653	0.6764705882352942	0.1419753086419753	0.8024691358024691	0.7147534668721109
crag	mistralai-mistral-7b-instruct-v0-3	ensemble_assistive	103	13	27	19	0.8879310344827587	0.8442622950819673	0.865546218487395	0.2839506172839506	0.5869565217391305	0.16666666666666666	0.8024691358024691	0.7596311475409836
crag	mistralai-mistral-7b-instruct-v0-3	ensemble_incremental	104	17	23	18	0.859504132231405	0.8524590163934426	0.8559670781893004	0.25308641975308643	0.5609756097560976	0.1419753086419753	0.7839506172839507	0.7137295081967213
crag	qwen-qwen2-5-72b-instruct	ensemble_assistive	97	14	37	14	0.8738738738738738	0.8738738738738738	0.8738738738738738	0.3148148148148148	0.7254901960784313	0.22839506172839505	0.8271604938271605	0.7996820349761526
crag	qwen-qwen2-5-72b-instruct	ensemble_incremental	98	16	35	13	0.8596491228070176	0.8828828828828829	0.8711111111111112	0.2962962962962963	0.7291666666666666	0.21604938271604937	0.8209876543209876	0.7845786963434023
crag	qwen-qwen3-32b	ensemble_assistive	106	18	25	13	0.8548387096774194	0.8907563025210085	0.8724279835390947	0.2345679012345679	0.6578947368421053	0.15432098765432098	0.808641975308642	0.7360758256791089
crag	qwen-qwen3-32b	ensemble_incremental	108	18	25	11	0.8571428571428571	0.907563025210084	0.8816326530612244	0.2222222222222222	0.6944444444444444	0.15432098765432098	0.8209876543209876	0.7444791870236467
hotpotqa	google-gemini-2-5-flash	ensemble_assistive	77	33	130	34	0.7	0.6936936936936937	0.6968325791855203	0.5985401459854015	0.7926829268292683	0.4744525547445255	0.7554744525547445	0.7456198529818162
hotpotqa	google-gemini-2-5-flash	ensemble_incremental	81	49	114	30	0.6230769230769231	0.7297297297297297	0.6721991701244813	0.5255474452554745	0.7916666666666666	0.41605839416058393	0.7116788321167883	0.7145581163986072
hotpotqa	google-gemini-2-5-pro	ensemble_assistive	63	19	161	31	0.7682926829268293	0.6702127659574468	0.7159090909090909	0.7007299270072993	0.8385416666666666	0.5875912408759124	0.8175182481751825	0.7823286052009456
hotpotqa	google-gemini-2-5-pro	ensemble_incremental	58	23	157	36	0.7160493827160493	0.6170212765957447	0.6628571428571428	0.7043795620437956	0.8134715025906736	0.572992700729927	0.7846715328467153	0.7446217494089834
hotpotqa	meta-llama-llama-3-1-8b-instruct	ensemble_assistive	176	26	42	30	0.8712871287128713	0.8543689320388349	0.8627450980392157	0.26277372262773724	0.5833333333333334	0.15328467153284672	0.7956204379562044	0.7360079954311822
hotpotqa	meta-llama-llama-3-1-8b-instruct	ensemble_incremental	183	29	39	23	0.8632075471698113	0.8883495145631068	0.8755980861244019	0.22627737226277372	0.6290322580645161	0.14233576642335766	0.8102189781021898	0.7309394631639063
hotpotqa	mistralai-mistral-7b-instruct-v0-3	ensemble_assistive	163	23	42	46	0.8763440860215054	0.7799043062200957	0.8253164556962024	0.32116788321167883	0.4772727272727273	0.15328467153284672	0.7481751824817519	0.713029076186971
hotpotqa	mistralai-mistral-7b-instruct-v0-3	ensemble_incremental	150	27	38	59	0.847457627118644	0.7177033492822966	0.7772020725388601	0.354014598540146	0.3917525773195876	0.1386861313868613	0.6861313868613139	0.6511593669488406
hotpotqa	qwen-qwen2-5-72b-instruct	ensemble_assistive	162	41	54	17	0.7980295566502463	0.9050279329608939	0.8481675392670157	0.2591240875912409	0.7605633802816901	0.19708029197080293	0.7883211678832117	0.7367244927962364
hotpotqa	qwen-qwen2-5-72b-instruct	ensemble_incremental	161	40	55	18	0.8009950248756219	0.8994413407821229	0.8473684210526317	0.2664233576642336	0.7534246575342466	0.20072992700729927	0.7883211678832117	0.7391943546015878
hotpotqa	qwen-qwen3-32b	ensemble_assistive	169	29	55	21	0.8535353535353535	0.8894736842105263	0.8711340206185567	0.2773722627737226	0.7236842105263158	0.20072992700729927	0.8175182481751825	0.7721177944862155
hotpotqa	qwen-qwen3-32b	ensemble_incremental	173	32	52	17	0.8439024390243902	0.9105263157894737	0.8759493670886076	0.2518248175182482	0.7536231884057971	0.1897810218978102	0.8211678832116789	0.7647869674185463
mintaka	google-gemini-2-5-flash	ensemble_assistive	33	31	214	20	0.515625	0.6226415094339622	0.564102564102564	0.785234899328859	0.9145299145299145	0.7181208053691275	0.8288590604026845	0.7480554485945321
mintaka	google-gemini-2-5-flash	ensemble_incremental	31	33	212	22	0.484375	0.5849056603773585	0.5299145299145298	0.785234899328859	0.905982905982906	0.7114093959731543	0.8154362416107382	0.7251058914131691
mintaka	google-gemini-2-5-pro	ensemble_assistive	22	30	221	25	0.4230769230769231	0.46808510638297873	0.4444444444444444	0.825503355704698	0.8983739837398373	0.7416107382550335	0.8154362416107382	0.6742815970161905
mintaka	google-gemini-2-5-pro	ensemble_incremental	23	26	225	24	0.46938775510204084	0.48936170212765956	0.47916666666666663	0.8355704697986577	0.9036144578313253	0.7550335570469798	0.8322147651006712	0.6928880223785708
mintaka	meta-llama-llama-3-1-8b-instruct	ensemble_assistive	170	31	67	30	0.845771144278607	0.85	0.8478802992518704	0.32550335570469796	0.6907216494845361	0.22483221476510068	0.7953020134228188	0.7668367346938776
mintaka	meta-llama-llama-3-1-8b-instruct	ensemble_incremental	171	30	68	29	0.8507462686567164	0.855	0.8528678304239402	0.32550335570469796	0.7010309278350515	0.22818791946308725	0.802013422818792	0.7744387755102041
mintaka	mistralai-mistral-7b-instruct-v0-3	ensemble_assistive	99	22	101	76	0.8181818181818182	0.5657142857142857	0.668918918918919	0.5939597315436241	0.5706214689265536	0.3389261744966443	0.6711409395973155	0.6934262485481998
mintaka	mistralai-mistral-7b-instruct-v0-3	ensemble_incremental	97	31	92	78	0.7578125	0.5542857142857143	0.6402640264026402	0.5704697986577181	0.5411764705882353	0.3087248322147651	0.6342281879194631	0.6511265969802555
mintaka	qwen-qwen2-5-72b-instruct	ensemble_assistive	128	46	110	14	0.735632183908046	0.9014084507042254	0.810126582278481	0.4161073825503356	0.8870967741935484	0.3691275167785235	0.7986577181208053	0.8032683279162153
mintaka	qwen-qwen2-5-72b-instruct	ensemble_incremental	126	50	106	16	0.7159090909090909	0.8873239436619719	0.7924528301886792	0.40939597315436244	0.8688524590163934	0.35570469798657717	0.7785234899328859	0.7834055615745756
mintaka	qwen-qwen3-32b	ensemble_assistive	171	32	80	15	0.8423645320197044	0.9193548387096774	0.8791773778920309	0.3187919463087248	0.8421052631578947	0.2684563758389262	0.8422818791946308	0.8168202764976958
mintaka	qwen-qwen3-32b	ensemble_incremental	169	38	74	17	0.8164251207729468	0.9086021505376344	0.8600508905852418	0.3053691275167785	0.8131868131868132	0.2483221476510067	0.8154362416107382	0.78465821812596
