model,dataset,id,question,sequential_answer,open_answer,gold_answer,sequential_correct,open_correct,sequential_intermediate_questions,sequential_intermediate_answers,sequential_dsl,sequential_raw_response,sequential_qa_chain,open_raw_response,equivalence_reasoning,equivalence_raw_response,label_cause,label_notes
google-gemini-2-5-pro,hotpotqa,5a804fc45542992bc0c4a6f0,Close to the Enemy starred the English actor known as Ash Morgan in what BBC series?,No Offence explanation: The reasoning chain identifies,Cuffs,Hustle,0,0,"[""Which English actor is known for playing Ash Morgan?"", ""In what BBC series did {answer_1} play Ash Morgan?""]","{""answer_1"": ""Will Mellor"", ""answer_2"": ""No Offence""}","answer_1: str = qa_model(""Which English actor is known for playing Ash Morgan?"")
answer_2: str = qa_model(""In what BBC series did {answer_1} play Ash Morgan?"", answer_1=answer_1)","answer:
No Offence

explanation:
The reasoning chain identifies","[{""question"": ""Which English actor is known for playing Ash Morgan?"", ""answer"": ""Will Mellor"", ""variable"": ""answer_1"", ""multi_answer"": false, ""resolved_questions"": [], ""individual_answers"": []}, {""question"": ""In what BBC series did Will Mellor play Ash Morgan?"", ""answer"": ""No Offence"", ""variable"": ""answer_2"", ""multi_answer"": false, ""resolved_questions"": [], ""individual_answers"": []}]",Cuffs,"The answers provide different BBC series names, ""No Offence"" and ""Cuffs"", which are contradictory.","equivalent: 0
reasoning: The answers provide different BBC series names, ""No Offence"" and ""Cuffs"", which are contradictory.",,
google-gemini-2-5-pro,hotpotqa,5a7fa11e5542995d8a8dded4,"Who founded the college attended by Thomas Balston, member of the Whatman paper-making family?","William of Wykeham explanation: The reasoning chain first identifies that Thomas Balston attended New College, Oxford, and then states that William of Wykeham founded that college.",Henry VI,William of Wykeham,1,0,"[""Which college did Thomas Balston attend?"", ""Who founded {answer_1}?""]","{""answer_1"": ""New College, Oxford"", ""answer_2"": ""William of Wykeham""}","answer_1: str = qa_model(""Which college did Thomas Balston attend?"")
answer_2: str = qa_model(""Who founded {answer_1}?"", answer_1=answer_1)","answer:
William of Wykeham

explanation:
The reasoning chain first identifies that Thomas Balston attended New College, Oxford, and then states that William of Wykeham founded that college.","[{""question"": ""Which college did Thomas Balston attend?"", ""answer"": ""New College, Oxford"", ""variable"": ""answer_1"", ""multi_answer"": false, ""resolved_questions"": [], ""individual_answers"": []}, {""question"": ""Who founded New College, Oxford?"", ""answer"": ""William of Wykeham"", ""variable"": ""answer_2"", ""multi_answer"": false, ""resolved_questions"": [], ""individual_answers"": []}]","answer:
Henry VI","Answer A correctly identifies William of Wykeham as the founder of New College, Oxford, which Thomas Balston attended. Answer B states Henry VI, who founded other institutions, thus contradicting Answer A.","equivalent: 0
reasoning: Answer A correctly identifies William of Wykeham as the founder of New College, Oxford, which Thomas Balston attended. Answer B states Henry VI, who founded other institutions, thus contradicting Answer A.",,
google-gemini-2-5-pro,hotpotqa,5adf1bf75542993344016bd9,"Canton Road Station was a planned railway station on the Kowloon Southern Link of West Rail Line, that was to run beneath a large shopping mall located where?","Tsim Sha Tsui, Hong Kong explanation: The reasoning chain identifies the shopping mall as Harbour City and then provides its location as Tsim Sha Tsui, Hong Kong.",Harbour City,"Tsim Sha Tsui, Hong Kong",1,0,"[""What is the name of the large shopping mall that Canton Road Station was planned to run beneath?"", ""Where is {answer_1} located?""]","{""answer_1"": ""Harbour City"", ""answer_2"": ""Tsim Sha Tsui, Hong Kong""}","answer_1: str = qa_model(""What is the name of the large shopping mall that Canton Road Station was planned to run beneath?"")
answer_2: str = qa_model(""Where is {answer_1} located?"", answer_1=answer_1)","answer:
Tsim Sha Tsui, Hong Kong

explanation:
The reasoning chain identifies the shopping mall as Harbour City and then provides its location as Tsim Sha Tsui, Hong Kong.","[{""question"": ""What is the name of the large shopping mall that Canton Road Station was planned to run beneath?"", ""answer"": ""Harbour City"", ""variable"": ""answer_1"", ""multi_answer"": false, ""resolved_questions"": [], ""individual_answers"": []}, {""question"": ""Where is Harbour City located?"", ""answer"": ""Tsim Sha Tsui, Hong Kong"", ""variable"": ""answer_2"", ""multi_answer"": false, ""resolved_questions"": [], ""individual_answers"": []}]","answer:
Harbour City","Answer A provides the geographical location (Tsim Sha Tsui, Hong Kong) as requested by ""located where?"", while Answer B provides the name of the shopping mall (Harbour City), which is not the requested information.","equivalent: 0
reasoning: Answer A provides the geographical location (Tsim Sha Tsui, Hong Kong) as requested by ""located where?"", while Answer B provides the name of the shopping mall (Harbour City), which is not the requested information.",,
google-gemini-2-5-pro,hotpotqa,5ae0af9a5542993d6555ec17,Are Grasshopper and Sake bomb both types of drinks?,Yes explanation: The chain identifies a Grasshopper as an insect and a Sake,Yes,yes,0,1,"[""What type of thing is a Grasshopper?"", ""What type of thing is a Sake bomb?"", ""Are a {answer_1} and a {answer_2} both types of drinks?""]","{""answer_1"": ""Insect"", ""answer_2"": ""Beer cocktail"", ""answer_3"": ""Yes""}","answer_1: str = qa_model(""What type of thing is a Grasshopper?"")
answer_2: str = qa_model(""What type of thing is a Sake bomb?"")
answer_3: str = qa_model(""Are a {answer_1} and a {answer_2} both types of drinks?"", answer_1=answer_1, answer_2=answer_2)","answer:
Yes

explanation:
The chain identifies a Grasshopper as an insect and a Sake","[{""question"": ""What type of thing is a Grasshopper?"", ""answer"": ""Insect"", ""variable"": ""answer_1"", ""multi_answer"": false, ""resolved_questions"": [], ""individual_answers"": []}, {""question"": ""What type of thing is a Sake bomb?"", ""answer"": ""Beer cocktail"", ""variable"": ""answer_2"", ""multi_answer"": false, ""resolved_questions"": [], ""individual_answers"": []}, {""question"": ""Are a Insect and a Beer cocktail both types of drinks?"", ""answer"": ""Yes"", ""variable"": ""answer_3"", ""multi_answer"": false, ""resolved_questions"": [], ""individual_answers"": []}]","answer:
Yes","Answer A's explanation contradicts its initial ""Yes"" by stating ""Grasshopper as an insect"", implying it is not a drink, which makes the overall answer to the ""both"" question effectively ""No"". Answer B clearly states ""Yes"".","equivalent: 0
reasoning: Answer A's explanation contradicts its initial ""Yes"" by stating ""Grasshopper as an insect"", implying it is not a drink, which makes the overall answer to the ""both"" question effectively ""No"". Answer B clearly states ""Yes"".",,
google-gemini-2-5-pro,hotpotqa,5ab345db55429969a97a8122,"Which state does the drug stores, of which the CEO is Warren Bryant, are located?",Hawaii explanation: The provided reasoning identifies Warren Bryant as the CEO of Longs Drugs and then specifies that Longs Drugs is located in Hawaii.,California,Hawaii,1,0,"[""Which drug store company is Warren Bryant the CEO of?"", ""In which state is {answer_1} located?""]","{""answer_1"": ""Longs Drugs"", ""answer_2"": ""Hawaii""}","answer_1: str = qa_model(""Which drug store company is Warren Bryant the CEO of?"")
answer_2: str = qa_model(""In which state is {answer_1} located?"", answer_1=answer_1)","answer:
Hawaii

explanation:
The provided reasoning identifies Warren Bryant as the CEO of Longs Drugs and then specifies that Longs Drugs is located in Hawaii.","[{""question"": ""Which drug store company is Warren Bryant the CEO of?"", ""answer"": ""Longs Drugs"", ""variable"": ""answer_1"", ""multi_answer"": false, ""resolved_questions"": [], ""individual_answers"": []}, {""question"": ""In which state is Longs Drugs located?"", ""answer"": ""Hawaii"", ""variable"": ""answer_2"", ""multi_answer"": false, ""resolved_questions"": [], ""individual_answers"": []}]",California,The answers provide contradictory information regarding the state where the drug stores are located (Hawaii vs. California).,"equivalent: 0
reasoning: The answers provide contradictory information regarding the state where the drug stores are located (Hawaii vs. California).",,
google-gemini-2-5-pro,hotpotqa,5ade18635542997c77aded3e,What network is the reality TV Show that features American former professional baseball left fielder who played 22 seasons in Major League Baseball (MLB) with the Pittsburgh Pirates and San Francisco Giants?,ESPN2 explanation: The reasoning chain first identifies the baseball player as,ESPN,ESPN,0,1,"[""Who is the American former professional baseball left fielder who played 22 seasons in Major League Baseball (MLB) with the Pittsburgh Pirates and San Francisco Giants?"", ""What reality TV show features {answer_1}?"", ""What network is the reality TV show {answer_2} on?""]","{""answer_1"": ""Barry Bonds"", ""answer_2"": ""Bonds on Bonds"", ""answer_3"": ""ESPN2""}","answer_1: str = qa_model(""Who is the American former professional baseball left fielder who played 22 seasons in Major League Baseball (MLB) with the Pittsburgh Pirates and San Francisco Giants?"")
answer_2: str = qa_model(""What reality TV show features {answer_1}?"", answer_1=answer_1)
answer_3: str = qa_model(""What network is the reality TV show {answer_2} on?"", answer_2=answer_2)","answer:
ESPN2

explanation:
The reasoning chain first identifies the baseball player as","[{""question"": ""Who is the American former professional baseball left fielder who played 22 seasons in Major League Baseball (MLB) with the Pittsburgh Pirates and San Francisco Giants?"", ""answer"": ""Barry Bonds"", ""variable"": ""answer_1"", ""multi_answer"": false, ""resolved_questions"": [], ""individual_answers"": []}, {""question"": ""What reality TV show features Barry Bonds?"", ""answer"": ""Bonds on Bonds"", ""variable"": ""answer_2"", ""multi_answer"": false, ""resolved_questions"": [], ""individual_answers"": []}, {""question"": ""What network is the reality TV show Bonds on Bonds on?"", ""answer"": ""ESPN2"", ""variable"": ""answer_3"", ""multi_answer"": false, ""resolved_questions"": [], ""individual_answers"": []}]","answer:
ESPN","ESPN2 and ESPN are distinct television networks, so the answers contradict each other.","equivalent: 0
reasoning: ESPN2 and ESPN are distinct television networks, so the answers contradict each other.",,
google-gemini-2-5-pro,mintaka,3c79e320,What is the name of the kingdom that the love interest to Luigi's younger brother rules over?,Mushroom Kingdom,Sarasaland,Mushroom Kingdom,1,0,[],"{""answer_1"": ""Mario"", ""answer_2"": ""Princess Peach"", ""answer_3"": ""Mushroom Kingdom""}","answer_1: str = qa_model(""Who is Luigi's brother?"")
answer_2: str = qa_model(""Who is the love interest of {answer_1}?"", answer_1=answer_1)
answer_3: str = qa_model(""What kingdom does {answer_2} rule over?"", answer_2=answer_2)","answer:
Mushroom Kingdom

explanation:
The reasoning chain establishes that Luigi's brother is","[{""variable"": ""answer_1"", ""question"": ""Who is Luigi's brother?"", ""answer"": ""Mario"", ""raw_completion"": ""Mario""}, {""variable"": ""answer_2"", ""question"": ""Who is the love interest of Mario?"", ""answer"": ""Princess Peach"", ""raw_completion"": ""Princess Peach""}, {""variable"": ""answer_3"", ""question"": ""What kingdom does Princess Peach rule over?"", ""answer"": ""Mushroom Kingdom"", ""raw_completion"": ""Mushroom Kingdom""}]","answer:
Sarasaland","The answers provide two different, contradictory names for the kingdom: ""Mushroom Kingdom"" and ""Sarasaland"".","equivalent: 0
reasoning: The answers provide two different, contradictory names for the kingdom: ""Mushroom Kingdom"" and ""Sarasaland"".",,
google-gemini-2-5-pro,mintaka,48e38631,How many actors played Sonny in Big Daddy?,1,2,2,0,1,[],"{""answer_1"": ""Adam Sandler"", ""answer_2"": ""1""}","answer_1: str = qa_model(""Who played the character Sonny in the movie Big Daddy?"")
answer_2: str = qa_model(""How many actors are in the group '{answer_1}'?"", answer_1=answer_1)","answer:
1

explanation:
The reasoning chain identifies the actor who played Sonny and then counts the number of actors in that group.","[{""variable"": ""answer_1"", ""question"": ""Who played the character Sonny in the movie Big Daddy?"", ""answer"": ""Adam Sandler"", ""raw_completion"": ""Adam Sandler""}, {""variable"": ""answer_2"", ""question"": ""How many actors are in the group 'Adam Sandler'?"", ""answer"": ""1"", ""raw_completion"": ""1""}]",2,The answers provide different numbers (1 vs 2) which is a direct contradiction.,"equivalent: 0
reasoning: The answers provide different numbers (1 vs 2) which is a direct contradiction.",,
google-gemini-2-5-pro,mintaka,851dc8e8,What is the oldest house in the largest city in Illinois?,Noble–Seymour–Crippen House,Clarke-Glessner House,Clarke House Museum,0,0,[],"{""answer_1"": ""Chicago"", ""answer_2"": ""Noble\u2013Seymour\u2013Crippen House""}","answer_1: str = qa_model(""What is the largest city in Illinois?"")
answer_2: str = qa_model(""What is the oldest house in {answer_1}?"", answer_1=answer_1)","answer:
Noble–Seymour–Crippen House

explanation:
The reasoning chain first identifies the largest city in Illinois as Chicago and then finds the oldest house in that city.","[{""variable"": ""answer_1"", ""question"": ""What is the largest city in Illinois?"", ""answer"": ""Chicago"", ""raw_completion"": ""Chicago""}, {""variable"": ""answer_2"", ""question"": ""What is the oldest house in Chicago?"", ""answer"": ""Noble\u2013Seymour\u2013Crippen House"", ""raw_completion"": ""Noble\u2013Seymour\u2013Crippen House""}]",Clarke-Glessner House,The answers provide two different and conflicting names for the oldest house.,"equivalent: 0
reasoning: The answers provide two different and conflicting names for the oldest house.",,
google-gemini-2-5-pro,mintaka,c9ac50f7,Who was the pilot of Lunar Module during the first Apollo Mission?,Buzz Aldrin,"There was no Lunar Module on the first Apollo mission, Apollo 1. The first mission to fly a",Buzz Aldin,1,0,[],"{""answer_1"": ""Apollo 11"", ""answer_2"": ""Buzz Aldrin""}","answer_1: str = qa_model(""Which Apollo mission was the first to land humans on the Moon?"")
answer_2: str = qa_model(""Who was the Lunar Module pilot for the {answer_1} mission?"", answer_1=answer_1)","answer:
Buzz Aldrin

explanation:
The reasoning chain identifies the first Apollo mission to land on the Moon as Apollo 11 and then names Buzz Aldrin as the Lunar Module pilot for that mission.","[{""variable"": ""answer_1"", ""question"": ""Which Apollo mission was the first to land humans on the Moon?"", ""answer"": ""Apollo 11"", ""raw_completion"": ""Apollo 11""}, {""variable"": ""answer_2"", ""question"": ""Who was the Lunar Module pilot for the Apollo 11 mission?"", ""answer"": ""Buzz Aldrin"", ""raw_completion"": ""Buzz Aldrin""}]","There was no Lunar Module on the first Apollo mission, Apollo 1. The first mission to fly a","The answers present a direct contradiction. Answer A names a pilot for the Lunar Module on the first Apollo mission, while Answer B states that there was no Lunar Module on that mission.","equivalent: 0
reasoning: The answers present a direct contradiction. Answer A names a pilot for the Lunar Module on the first Apollo mission, while Answer B states that there was no Lunar Module on that mission.",,
google-gemini-2-5-pro,mintaka,5d940b68,Who is the leader of the country that the United States broke free of in 1776?,King George III,Liz Truss,Boris Johnson,0,0,[],"{""answer_1"": ""Great Britain"", ""answer_2"": ""King George III""}","answer_1: str = qa_model(""What country did the United States declare independence from in 1776?"")
answer_2: str = qa_model(""Who was the leader of {answer_1} in 1776?"", answer_1=answer_1)","answer:
King George III

explanation:
The reasoning chain first identifies the country as Great Britain and then names its leader in 1776.","[{""variable"": ""answer_1"", ""question"": ""What country did the United States declare independence from in 1776?"", ""answer"": ""Great Britain"", ""raw_completion"": ""Great Britain""}, {""variable"": ""answer_2"", ""question"": ""Who was the leader of Great Britain in 1776?"", ""answer"": ""King George III"", ""raw_completion"": ""King George III""}]","answer:
Liz Truss",The answers provide two different and contradictory names for the leader in 1776: King George III vs. Liz Truss.,"equivalent: 0
reasoning: The answers provide two different and contradictory names for the leader in 1776: King George III vs. Liz Truss.",,
google-gemini-2-5-pro,mintaka,9d4dccb3,"Where did the rapper in the song ""I am different"" graduate college from?",Harvard University,Alabama State University,Virginia State University,0,0,[],"{""answer_1"": ""Bobby"", ""answer_2"": ""Harvard University""}","answer_1: str = qa_model(""Who is the rapper in the song 'I am different'?"")
answer_2: str = qa_model(""Where did {answer_1} graduate from college?"", answer_1=answer_1)","answer:
Harvard University

explanation:
The provided reasoning identifies the rapper in the song as Bobby and then states that Bobby graduated from Harvard University.","[{""variable"": ""answer_1"", ""question"": ""Who is the rapper in the song 'I am different'?"", ""answer"": ""Bobby"", ""raw_completion"": ""Bobby""}, {""variable"": ""answer_2"", ""question"": ""Where did Bobby graduate from college?"", ""answer"": ""Harvard University"", ""raw_completion"": ""Harvard University""}]",Alabama State University,The answers provide two different and contradictory universities: Harvard University vs. Alabama State University.,"equivalent: 0
reasoning: The answers provide two different and contradictory universities: Harvard University vs. Alabama State University.",,
google-gemini-2-5-pro,mintaka,83e7d209,When was the director of We're the Millers born?,1975-02-09,1975-11-09,9-Feb-75,1,0,[],"{""answer_1"": ""Rawson Marshall Thurber"", ""answer_2"": ""1975-02-09""}","answer_1: str = qa_model(""Who directed the movie 'We're the Millers'?"")
answer_2: str = qa_model(""When was {answer_1} born?"", answer_1=answer_1)","answer:
1975-02-09

explanation:
The reasoning chain first identifies the director of 'We're the Millers' and then provides their date of birth.","[{""variable"": ""answer_1"", ""question"": ""Who directed the movie 'We're the Millers'?"", ""answer"": ""Rawson Marshall Thurber"", ""raw_completion"": ""Rawson Marshall Thurber""}, {""variable"": ""answer_2"", ""question"": ""When was Rawson Marshall Thurber born?"", ""answer"": ""1975-02-09"", ""raw_completion"": ""1975-02-09""}]","answer:
1975-11-09",The calendar dates do not match. The month is different (February vs. November).,"equivalent: 0
reasoning: The calendar dates do not match. The month is different (February vs. November).",,
google-gemini-2-5-pro,mintaka,2652ec2b,Which award did the first puzzle game by Fireproof Games win at the British Academy Video Games Awards?,Best British Game,British Game,British Academy Games Award for Best Game,0,0,"[""What was the first puzzle game developed by Fireproof Games?"", ""Which award did '{answer_1}' win at the British Academy Video Games Awards?""]","{""answer_1"": ""The Room"", ""answer_2"": ""Best British Game""}","answer_1: str = qa_model(""What was the first puzzle game developed by Fireproof Games?"")
answer_2: str = qa_model(""Which award did '{answer_1}' win at the British Academy Video Games Awards?"", answer_1=answer_1)","answer:
Best British Game","[{""variable"": ""answer_1"", ""question"": ""What was the first puzzle game developed by Fireproof Games?"", ""answer"": ""The Room"", ""raw_completion"": ""The Room"", ""multi_answer"": false}, {""variable"": ""answer_2"", ""question"": ""Which award did 'The Room' win at the British Academy Video Games Awards?"", ""answer"": ""Best British Game"", ""raw_completion"": ""Best British Game"", ""multi_answer"": false}]","answer:
British Game","The word ""Best"" is a significant part of the award title, making ""Best British Game"" and ""British Game"" distinct awards.","equivalent: 0
reasoning: The word ""Best"" is a significant part of the award title, making ""Best British Game"" and ""British Game"" distinct awards.",,
google-gemini-2-5-pro,mintaka,44553d7e,How old in years was the oldest American president when he first assumed office?,28 explanation: The reasoning chain identifies Joe Biden as the oldest president to assume office and states his age at that time was 28.,78,78,0,1,"[""Who was the oldest American president when he first assumed office?"", ""How old was {answer_1} when he first assumed office?""]","{""answer_1"": ""Joe Biden"", ""answer_2"": ""28""}","answer_1: str = qa_model(""Who was the oldest American president when he first assumed office?"")
answer_2: str = qa_model(""How old was {answer_1} when he first assumed office?"", answer_1=answer_1)","answer:
28

explanation:
The reasoning chain identifies Joe Biden as the oldest president to assume office and states his age at that time was 28.","[{""variable"": ""answer_1"", ""question"": ""Who was the oldest American president when he first assumed office?"", ""answer"": ""Joe Biden"", ""raw_completion"": ""Joe Biden"", ""multi_answer"": false}, {""variable"": ""answer_2"", ""question"": ""How old was Joe Biden when he first assumed office?"", ""answer"": ""28"", ""raw_completion"": ""28"", ""multi_answer"": false}]",78,"The numeric values ""28"" and ""78"" are significantly different and do not fall within the allowed tolerance for numeric expressions, especially for a specific age in years.","equivalent: 0
reasoning: The numeric values ""28"" and ""78"" are significantly different and do not fall within the allowed tolerance for numeric expressions, especially for a specific age in years.",,
google-gemini-2-5-pro,mintaka,4b066327,How old was John Lennon when The Beatles formed?,20 explanation: The reasoning chain provides the year The Beatles formed (1960) and John Lennon's age in that same year (20).,19,16,0,0,"[""When were The Beatles formed?"", ""How old was John Lennon in {answer_1}?""]","{""answer_1"": ""1960"", ""answer_2"": ""20""}","answer_1: str = qa_model(""When were The Beatles formed?"")
answer_2: str = qa_model(""How old was John Lennon in {answer_1}?"", answer_1=answer_1)","answer:
20

explanation:
The reasoning chain provides the year The Beatles formed (1960) and John Lennon's age in that same year (20).","[{""variable"": ""answer_1"", ""question"": ""When were The Beatles formed?"", ""answer"": ""1960"", ""raw_completion"": ""1960"", ""multi_answer"": false}, {""variable"": ""answer_2"", ""question"": ""How old was John Lennon in 1960?"", ""answer"": ""20"", ""raw_completion"": ""20"", ""multi_answer"": false}]",19,The numerical values (20 and 19) are different and do not fall within the allowed numeric tolerance.,"equivalent: 0
reasoning: The numerical values (20 and 19) are different and do not fall within the allowed numeric tolerance.",,
